,card name,edition,rarity,converted mana cost,colourless mana,coloured mana,main type,sub type,power,toughness,abilities,average price in $,market price in $,foil price in $,img url
0,Acidic Slime,Magic 2010 ,Uncommon),5,['3'," 'Green', 'Green']",Creature , Ooze , Ooze (2,2),"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.",,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189880&type=card
1,Acidic Slime,Magic 2010 ,Uncommon),5,['3'," 'Green', 'Green']",Creature , Ooze , Ooze (2,2),"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.",0.29,0.20,1.20,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189880&type=card
2,Acidic Slime,Magic 2010 ,Uncommon),5,['3'," 'Green', 'Green']",Creature , Ooze , Ooze (2,2),"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.",0.29,0.20,1.20,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189880&type=card
3,Acidic Slime,Magic 2010 ,Uncommon),5,['3'," 'Green', 'Green']",Creature , Ooze , Ooze (2,2),"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.",0.29,0.20,1.20,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189880&type=card
4,Acidic Slime,Magic 2011 ,Uncommon),5,['3'," 'Green', 'Green']",Creature , Ooze , Ooze (2,2),"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.",,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=207333&type=card
5,Acidic Slime,Magic 2011 ,Uncommon),5,['3'," 'Green', 'Green']",Creature , Ooze , Ooze (2,2),"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.",0.29,0.20,1.20,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=207333&type=card
6,Acidic Slime,Magic 2011 ,Uncommon),5,['3'," 'Green', 'Green']",Creature , Ooze , Ooze (2,2),"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.",0.29,0.20,1.20,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=207333&type=card
7,Acidic Slime,Magic 2011 ,Uncommon),5,['3'," 'Green', 'Green']",Creature , Ooze , Ooze (2,2),"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.",0.29,0.20,1.20,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=207333&type=card
8,Acidic Slime,Magic 2012 ,Uncommon),5,['3'," 'Green', 'Green']",Creature , Ooze , Ooze (2,2),"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.",,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=226906&type=card
9,Acidic Slime,Magic 2012 ,Uncommon),5,['3'," 'Green', 'Green']",Creature , Ooze , Ooze (2,2),"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.",0.29,0.20,1.20,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=226906&type=card
