,card name,img url,edition - rarity,mana cost,converted mana cost,type,abilities
0,Adder-Staff Boggart,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=145992&type=card,Lorwyn (Common),"['1', 'Red']",2,Creature — Goblin Warrior (2/1),"When Adder-Staff Boggart enters the battlefield, clash with an opponent. If you win, put a +1/+1 counter on Adder-Staff Boggart. (Each clashing player reveals the top card of their library, then puts that card on the top or bottom. A player wins if their card had a higher mana value.)"
1,Æthersnipe (Aethersnipe),https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=145817&type=card,Lorwyn (Common),"['5', 'Blue']",6,Creature — Elemental (4/4),"When Aethersnipe enters the battlefield, return target nonland permanent to its owner's hand.
Evoke (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)"
2,Ajani Goldmane,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=140233&type=card,Lorwyn (Rare),"['2', 'White', 'White']",4,Legendary Planeswalker — Ajani (4),"+1: You gain 2 life.
−1: Put a +1/+1 counter on each creature you control. Those creatures gain vigilance until end of turn.
−6: Create a white Avatar creature token. It has ""This creature's power and toughness are each equal to your life total."""
3,Amoeboid Changeling,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=140339&type=card,Lorwyn (Common),"['1', 'Blue']",2,Creature — Shapeshifter (1/1),"Changeling (This card is every creature type.)
: Target creature gains all creature types until end of turn.
: Target creature loses all creature types until end of turn."
4,Ancient Amphitheater,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=153454&type=card,Lorwyn (Rare),"['1', 'Blue']",0,Land,"As Ancient Amphitheater enters the battlefield, you may reveal a Giant card from your hand. If you don't, Ancient Amphitheater enters the battlefield tapped.
: Add or ."
5,Aquitect's Will,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=142354&type=card,Lorwyn (Common),['Blue'],1,Tribal Sorcery — Merfolk,"Put a flood counter on target land. That land is an Island in addition to its other types for as long as it has a flood counter on it. If you control a Merfolk, draw a card."
6,Arbiter of Knollridge,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=140189&type=card,Lorwyn (Rare),"['6', 'White']",7,Creature — Giant Wizard (5/5),"Vigilance
When Arbiter of Knollridge enters the battlefield, each player's life total becomes the highest life total among all players."
7,Ashling the Pilgrim,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=141822&type=card,Lorwyn (Rare),"['1', 'Red']",2,Legendary Creature — Elemental Shaman (1/1),": Put a +1/+1 counter on Ashling the Pilgrim. If this is the third time this ability has resolved this turn, remove all +1/+1 counters from Ashling the Pilgrim, and it deals that much damage to each creature and each player."
8,Ashling's Prerogative,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=146595&type=card,Lorwyn (Rare),"['1', 'Red']",2,Enchantment,"As Ashling's Prerogative enters the battlefield, choose odd or even. (Zero is even.)
Each creature with mana value of the chosen quality has haste.
Each creature without mana value of the chosen quality enters the battlefield tapped."
9,Auntie's Hovel,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=153457&type=card,Lorwyn (Rare),"['1', 'Red']",0,Land,"As Auntie's Hovel enters the battlefield, you may reveal a Goblin card from your hand. If you don't, Auntie's Hovel enters the battlefield tapped.
: Add or ."
10,Austere Command,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=141817&type=card,Lorwyn (Rare),"['4', 'White', 'White']",6,Sorcery,"Choose two —
• Destroy all artifacts.
• Destroy all enchantments.
• Destroy all creatures with mana value 3 or less.
• Destroy all creatures with mana value 4 or greater."
11,Avian Changeling,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=145813&type=card,Lorwyn (Common),"['2', 'White']",3,Creature — Shapeshifter (2/2),"Changeling (This card is every creature type.)
Flying"
12,Axegrinder Giant,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=145976&type=card,Lorwyn (Common),"['4', 'Red', 'Red']",6,Creature — Giant Warrior (6/4),
13,Battle Mastery,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=145973&type=card,Lorwyn (Uncommon),"['2', 'White']",3,Enchantment — Aura,"Enchant creature
Enchanted creature has double strike. (It deals both first-strike and regular combat damage.)"
14,Battlewand Oak,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=141857&type=card,Lorwyn (Common),"['2', 'Green']",3,Creature — Treefolk Warrior (1/3),"Whenever a Forest enters the battlefield under your control, Battlewand Oak gets +2/+2 until end of turn.
Whenever you cast a Treefolk spell, Battlewand Oak gets +2/+2 until end of turn."
15,Benthicore,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139696&type=card,Lorwyn (Uncommon),"['6', 'Blue']",7,Creature — Elemental (5/5),"When Benthicore enters the battlefield, create two 1/1 blue Merfolk Wizard creature tokens.
Tap two untapped Merfolk you control: Untap Benthicore. It gains shroud until end of turn. (It can't be the target of spells or abilities.)"
16,Black Poplar Shaman,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139454&type=card,Lorwyn (Common),"['2', 'Black']",3,Creature — Treefolk Shaman (1/3),: Regenerate target Treefolk.
17,Blades of Velis Vel,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139480&type=card,Lorwyn (Common),"['1', 'Red']",2,Tribal Instant — Shapeshifter,"Changeling (This card is every creature type.)
Up to two target creatures each get +2/+0 and gain all creature types until end of turn."
18,Blind-Spot Giant,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=146597&type=card,Lorwyn (Common),"['2', 'Red']",3,Creature — Giant Warrior (4/3),Blind-Spot Giant can't attack or block unless you control another Giant.
19,Bog Hoodlums,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=145966&type=card,Lorwyn (Common),"['5', 'Black']",6,Creature — Goblin Warrior (4/1),"Bog Hoodlums can't block.
When Bog Hoodlums enters the battlefield, clash with an opponent. If you win, put a +1/+1 counter on Bog Hoodlums. (Each clashing player reveals the top card of their library, then puts that card on the top or bottom. A player wins if their card had a higher mana value.)"
20,Boggart Birth Rite,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=142359&type=card,Lorwyn (Common),['Black'],1,Tribal Sorcery — Goblin,Return target Goblin card from your graveyard to your hand.
21,Boggart Forager,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=146168&type=card,Lorwyn (Common),['Red'],1,Creature — Goblin Rogue (1/1),", Sacrifice Boggart Forager: Target player shuffles their library."
22,Boggart Harbinger,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139441&type=card,Lorwyn (Uncommon),"['2', 'Black']",3,Creature — Goblin Shaman (2/1),"When Boggart Harbinger enters the battlefield, you may search your library for a Goblin card, reveal it, then shuffle and put that card on top."
23,Boggart Loggers,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139709&type=card,Lorwyn (Common),"['2', 'Black']",3,Creature — Goblin Rogue (2/1),"Forestwalk (This creature can't be blocked as long as defending player controls a Forest.)
, Sacrifice Boggart Loggers: Destroy target Treefolk or Forest."
24,Boggart Mob,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=140230&type=card,Lorwyn (Rare),"['3', 'Black']",4,Creature — Goblin Warrior (5/5),"Champion a Goblin (When this enters the battlefield, sacrifice it unless you exile another Goblin you control. When this leaves the battlefield, that card returns to the battlefield.)
Whenever a Goblin you control deals combat damage to a player, you may create a 1/1 black Goblin Rogue creature token."
25,Boggart Shenanigans,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139445&type=card,Lorwyn (Uncommon),"['2', 'Red']",3,Tribal Enchantment — Goblin,"Whenever another Goblin you control is put into a graveyard from the battlefield, you may have Boggart Shenanigans deal 1 damage to target player or planeswalker."
26,Boggart Sprite-Chaser,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=146446&type=card,Lorwyn (Common),"['1', 'Red']",2,Creature — Goblin Warrior (1/2),"As long as you control a Faerie, Boggart Sprite-Chaser gets +1/+1 and has flying."
